timestamp,temperature,humidity,moisture
4.697,32.3,46.0,26.0
5.709,32.3,46.0,26.0
6.992,32.3,47.0,25.9
8.004,32.3,47.0,25.8
9.287,32.3,47.0,25.8
10.298,32.3,47.0,25.8
11.581,32.3,48.0,25.8
12.592,32.3,48.0,25.8
13.875,32.4,48.0,25.8
14.886,32.4,48.0,25.8
16.168,32.4,49.0,25.8
17.18,32.4,49.0,25.8
18.462,32.5,49.0,25.8
19.474,32.5,49.0,25.8
20.756,32.5,49.0,25.8
21.768,32.5,49.0,25.8
23.05,32.6,48.0,26.0
24.062,32.6,48.0,25.8
25.346,32.7,47.0,25.9
26.358,32.7,47.0,25.8
27.64,32.7,47.0,26.1
28.653,32.7,47.0,26.1
29.935,32.8,48.0,25.9
30.947,32.8,48.0,26.0
32.229,32.9,49.0,25.8
33.241,32.9,49.0,26.3
34.523,33.0,49.0,26.0
35.535,33.0,49.0,26.1
36.817,33.0,49.0,26.1
37.829,33.0,49.0,25.9
39.111,33.1,47.0,26.3
40.123,33.1,47.0,25.8
41.405,33.1,46.0,25.9
42.416,33.1,46.0,26.1
43.699,33.1,45.0,26.0
44.712,33.1,45.0,26.1
45.995,33.2,45.0,26.0
47.007,33.2,45.0,26.0
48.29,33.2,44.0,26.2
49.301,33.2,44.0,25.9
50.583,17.5,5.0,26.0
51.595,17.5,5.0,26.0
52.877,32.7,44.0,26.2
53.889,32.7,44.0,26.2
55.172,33.2,45.0,26.1
56.184,33.2,45.0,26.3
57.466,25.9,27.0,26.1
58.478,25.9,27.0,26.3
59.759,24.3,5.0,26.1
60.771,24.3,5.0,26.3
62.053,24.0,5.0,26.3
63.065,24.0,5.0,26.1
64.349,23.8,5.0,26.1
65.361,23.8,5.0,26.5
66.643,23.5,5.0,26.2
67.655,23.5,5.0,26.3
68.937,23.7,5.0,26.4
69.949,23.7,5.0,26.5
71.231,23.0,5.0,26.2
72.243,23.0,5.0,26.3
73.525,23.6,5.0,26.6
74.537,23.6,5.0,26.4
75.819,23.0,5.0,26.4
76.831,23.0,5.0,26.0
78.113,23.0,5.0,26.1
79.125,23.0,5.0,26.4
80.407,23.1,5.0,26.3
81.419,23.1,5.0,26.4
82.702,23.2,5.0,26.9
83.713,23.2,5.0,26.5
84.998,23.0,5.0,26.5
86.01,23.0,5.0,26.5
87.292,22.8,5.0,26.7
88.304,22.8,5.0,26.7
89.586,22.5,5.0,26.5
90.598,22.5,5.0,26.4
91.88,22.9,5.0,26.4
92.892,22.9,5.0,26.4
94.174,22.7,5.0,26.7
95.186,22.7,5.0,26.7
